Crop,State,Season,Area - 1966-67,Area - 1967-68,Area - 1968-69,Area - 1969-70,Area - 1970-71,Area - 1971-72,Area - 1972-73,Area - 1973-74,Area - 1974-75,Area - 1975-76,Area - 1976-77,Area - 1977-78,Area - 1978-79,Area - 1979-80,Area - 1980-81,Area - 1981-82,Area - 1982-83,Area - 1983-84,Area - 1984-85,Area - 1985-86,Area - 1986-87,Area - 1987-88,Area - 1988-89,Area - 1989-90,Area - 1990-91,Area - 1991-92,Area - 1992-93,Area - 1993-94,Area - 1994-95,Area - 1995-96,Area - 1996-97,Area - 1997-98,Area - 1998-99,Area - 1999-00,Area - 2000-01,Area - 2001-02,Area - 2002-03,Area - 2003-04,Area - 2004-05,Area - 2005-06,Area - 2006-07,Area - 2007-08,Area - 2008-09,Area - 2009-10,Area - 2010-11,Area - 2011-12,Area - 2012-13,Area - 2013-14,Area - 2014-15,Area - 2015-16,Area - 2016-17,Area - 2017-18,Area - 2018-19,Area - 2019-20,Area - 2020-21,Area - 2021-22,Area - 2022-23,Area - 2023-24,Area - 2024-25,Production - 1966-67,Production - 1967-68,Production - 1968-69,Production - 1969-70,Production - 1970-71,Production - 1971-72,Production - 1972-73,Production - 1973-74,Production - 1974-75,Production - 1975-76,Production - 1976-77,Production - 1977-78,Production - 1978-79,Production - 1979-80,Production - 1980-81,Production - 1981-82,Production - 1982-83,Production - 1983-84,Production - 1984-85,Production - 1985-86,Production - 1986-87,Production - 1987-88,Production - 1988-89,Production - 1989-90,Production - 1990-91,Production - 1991-92,Production - 1992-93,Production - 1993-94,Production - 1994-95,Production - 1995-96,Production - 1996-97,Production - 1997-98,Production - 1998-99,Production - 1999-00,Production - 2000-01,Production - 2001-02,Production - 2002-03,Production - 2003-04,Production - 2004-05,Production - 2005-06,Production - 2006-07,Production - 2007-08,Production - 2008-09,Production - 2009-10,Production - 2010-11,Production - 2011-12,Production - 2012-13,Production - 2013-14,Production - 2014-15,Production - 2015-16,Production - 2016-17,Production - 2017-18,Production - 2018-19,Production - 2019-20,Production - 2020-21,Production - 2021-22,Production - 2022-23,Production - 2023-24,Production - 2024-25,Yield - 1966-67,Yield - 1967-68,Yield - 1968-69,Yield - 1969-70,Yield - 1970-71,Yield - 1971-72,Yield - 1972-73,Yield - 1973-74,Yield - 1974-75,Yield - 1975-76,Yield - 1976-77,Yield - 1977-78,Yield - 1978-79,Yield - 1979-80,Yield - 1980-81,Yield - 1981-82,Yield - 1982-83,Yield - 1983-84,Yield - 1984-85,Yield - 1985-86,Yield - 1986-87,Yield - 1987-88,Yield - 1988-89,Yield - 1989-90,Yield - 1990-91,Yield - 1991-92,Yield - 1992-93,Yield - 1993-94,Yield - 1994-95,Yield - 1995-96,Yield - 1996-97,Yield - 1997-98,Yield - 1998-99,Yield - 1999-00,Yield - 2000-01,Yield - 2001-02,Yield - 2002-03,Yield - 2003-04,Yield - 2004-05,Yield - 2005-06,Yield - 2006-07,Yield - 2007-08,Yield - 2008-09,Yield - 2009-10,Yield - 2010-11,Yield - 2011-12,Yield - 2012-13,Yield - 2013-14,Yield - 2014-15,Yield - 2015-16,Yield - 2016-17,Yield - 2017-18,Yield - 2018-19,Yield - 2019-20,Yield - 2020-21,Yield - 2021-22,Yield - 2022-23,Yield - 2023-24,Yield - 2024-25
Bajra,All India,Total,122.4,128.08,120.52,124.93,129.13,117.73,118.17,139.33,112.58,115.71,107.51,111.04,113.93,105.79,116.57,117.84,109.42,118.32,106.19,106.52,112.66,87.13,120.46,109.0,104.76,100.28,106.17,99.06,102.23,93.19,99.8,98.88,92.97,88.97,98.29,95.29,77.4,106.12,92.33,95.81,95.08,95.71,87.53,89.04,96.12,87.77,72.97,78.11,73.18,71.29,74.59,74.81,71.05,75.43,76.52,68.41,75.72,73.75,72.1,44.68,51.85,38.02,53.27,80.29,53.19,39.29,75.19,32.72,57.36,58.53,47.3,55.66,40.48,53.43,55.37,51.31,77.26,60.46,36.64,45.14,32.98,77.8,66.49,68.94,46.65,88.81,49.74,71.6,53.81,78.7,76.44,69.56,57.82,67.59,82.84,47.19,121.09,79.31,76.84,84.24,99.7,88.87,65.06,103.7,102.76,87.42,92.5,91.84,80.67,97.3,92.09,86.64,103.63,108.63,97.81,114.31,107.16,108.63,365.0,405.0,315.0,426.0,622.0,452.0,333.0,540.0,291.0,496.0,544.0,426.0,489.0,383.0,458.0,470.0,469.0,653.0,569.0,344.0,401.0,378.0,646.0,610.0,658.0,465.0,836.0,502.0,700.0,577.0,789.0,773.0,748.0,650.0,688.0,869.0,610.0,1141.0,859.0,802.0,886.0,1042.0,1015.0,731.0,1079.0,1171.0,1198.0,1184.0,1255.0,1132.0,1305.0,1231.0,1219.0,1374.0,1420.0,1430.0,1510.0,1453.0,1507.0
Bajra,Andaman And Nicobar Islands,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Bajra,Andhra Pradesh,Total,6.56,5.89,5.72,6.02,5.84,5.22,5.06,5.82,5.78,6.22,5.63,5.68,5.68,4.52,5.16,5.44,4.92,4.93,3.95,3.56,3.36,3.12,2.82,2.58,2.31,1.92,1.71,1.43,1.37,1.33,1.32,0.96,1.27,1.17,1.43,0.92,0.87,1.38,0.94,0.81,0.61,0.74,0.59,0.45,0.48,0.32,0.57,0.39,0.28,0.36,0.42,0.48,0.22,0.25,0.31,0.31,0.25,0.26,0.3,3.7,2.88,2.32,3.2,2.9,2.28,1.8,3.65,3.08,3.51,2.45,3.78,3.58,2.95,3.36,4.44,2.59,3.61,2.06,2.1,1.96,1.56,1.97,1.82,1.68,1.35,1.29,1.11,1.07,1.27,1.22,0.67,1.19,0.98,1.49,0.71,0.57,1.48,0.81,0.82,0.47,0.92,0.6,0.53,0.87,0.51,0.99,0.68,0.38,0.65,0.72,0.92,0.23,0.58,0.71,0.55,0.51,0.55,0.7,564.0,488.0,406.0,532.0,497.0,437.0,355.0,627.0,533.0,564.0,435.0,666.0,630.0,654.0,652.0,816.0,527.0,732.0,522.0,588.0,583.0,500.0,697.0,703.0,725.0,704.0,753.0,773.0,780.0,954.0,924.0,698.0,937.0,838.0,1042.0,776.0,655.0,1072.0,862.0,1012.0,770.0,1243.0,1017.0,1178.0,1815.0,1598.0,1737.0,1761.0,1357.0,1806.0,1714.0,1927.0,1031.0,2328.0,2281.0,1787.0,2027.0,2097.0,2320.0
Bajra,Arunachal Pradesh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Bajra,Assam,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajra,Bihar,Total,0.13,0.13,0.16,0.15,0.14,0.11,0.16,0.16,0.16,0.16,0.2,0.13,0.13,0.12,0.13,0.13,0.11,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0.07,0.09,0.08,0.07,0.06,0.06,0.06,0.06,0.02,0.01,0.01,0.02,0.01,0.04,0.04,0.09,0.03,0.03,0.05,0.05,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.02,0.03,0.03,0.05,0.09,0.07,0.08,0.08,0.05,0.08,0.04,0.06,0.08,0.08,0.05,0.05,0.06,0.07,0.06,0.05,0.08,0.08,0.07,0.07,0.05,0.07,0.05,0.04,0.03,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.02,0.01,0.05,0.04,0.1,0.04,0.03,0.05,0.05,0.05,0.03,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.03,0.03,0.03,0.04,415.0,698.0,445.0,500.0,593.0,463.0,526.0,269.0,384.0,516.0,399.0,403.0,385.0,492.0,520.0,460.0,486.0,628.0,661.0,609.0,642.0,490.0,670.0,490.0,500.0,413.0,521.0,580.0,593.0,568.0,578.0,593.0,581.0,621.0,867.0,750.0,1000.0,1000.0,1083.0,1070.0,1073.0,1111.0,1200.0,1108.0,1102.0,1113.0,1142.0,1136.0,1134.0,1133.0,1135.0,1134.0,1134.0,1134.0,1134.0,1140.0,1140.0,1138.0,1139.0
Bajra,Chandigarh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Bajra,Chhattisgarh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,,0.0,0.0,0.0,0.0,1000.0,0.0,426.0,0.0,449.0,0.0,515.0,429.0,458.0,419.0,531.0
Bajra,Dadra And Nagar Haveli,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667.0,1667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519.0,1536.0,
Bajra,Daman And Diu,Total,,,,,,,,,,,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.05,0.0,0.01,0.01,0.01,,,,,,,,,,,,,,,0.01,0.04,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.01,0.01,0.0,0.01,0.01,,,,,,,,,,,,,,1400.0,2000.0,1800.0,1667.0,1333.0,1667.0,1667.0,1333.0,1667.0,1333.0,2000.0,2000.0,15000.0,,2000.0,2000.0,1667.0,,,,,,,,,,,,,,,1667.0,2000.0,1667.0,1333.0,0.0,1361.0,1393.0,3922.0,1369.0,1101.0,1333.0,1306.0,1150.0,1509.0,1530.0,,,
