Crop,State,Season,Area - 1966-67,Area - 1967-68,Area - 1968-69,Area - 1969-70,Area - 1970-71,Area - 1971-72,Area - 1972-73,Area - 1973-74,Area - 1974-75,Area - 1975-76,Area - 1976-77,Area - 1977-78,Area - 1978-79,Area - 1979-80,Area - 1980-81,Area - 1981-82,Area - 1982-83,Area - 1983-84,Area - 1984-85,Area - 1985-86,Area - 1986-87,Area - 1987-88,Area - 1988-89,Area - 1989-90,Area - 1990-91,Area - 1991-92,Area - 1992-93,Area - 1993-94,Area - 1994-95,Area - 1995-96,Area - 1996-97,Area - 1997-98,Area - 1998-99,Area - 1999-00,Area - 2000-01,Area - 2001-02,Area - 2002-03,Area - 2003-04,Area - 2004-05,Area - 2005-06,Area - 2006-07,Area - 2007-08,Area - 2008-09,Area - 2009-10,Area - 2010-11,Area - 2011-12,Area - 2012-13,Area - 2013-14,Area - 2014-15,Area - 2015-16,Area - 2016-17,Area - 2017-18,Area - 2018-19,Area - 2019-20,Area - 2020-21,Area - 2021-22,Area - 2022-23,Area - 2023-24,Area - 2024-25,Production - 1966-67,Production - 1967-68,Production - 1968-69,Production - 1969-70,Production - 1970-71,Production - 1971-72,Production - 1972-73,Production - 1973-74,Production - 1974-75,Production - 1975-76,Production - 1976-77,Production - 1977-78,Production - 1978-79,Production - 1979-80,Production - 1980-81,Production - 1981-82,Production - 1982-83,Production - 1983-84,Production - 1984-85,Production - 1985-86,Production - 1986-87,Production - 1987-88,Production - 1988-89,Production - 1989-90,Production - 1990-91,Production - 1991-92,Production - 1992-93,Production - 1993-94,Production - 1994-95,Production - 1995-96,Production - 1996-97,Production - 1997-98,Production - 1998-99,Production - 1999-00,Production - 2000-01,Production - 2001-02,Production - 2002-03,Production - 2003-04,Production - 2004-05,Production - 2005-06,Production - 2006-07,Production - 2007-08,Production - 2008-09,Production - 2009-10,Production - 2010-11,Production - 2011-12,Production - 2012-13,Production - 2013-14,Production - 2014-15,Production - 2015-16,Production - 2016-17,Production - 2017-18,Production - 2018-19,Production - 2019-20,Production - 2020-21,Production - 2021-22,Production - 2022-23,Production - 2023-24,Production - 2024-25,Yield - 1966-67,Yield - 1967-68,Yield - 1968-69,Yield - 1969-70,Yield - 1970-71,Yield - 1971-72,Yield - 1972-73,Yield - 1973-74,Yield - 1974-75,Yield - 1975-76,Yield - 1976-77,Yield - 1977-78,Yield - 1978-79,Yield - 1979-80,Yield - 1980-81,Yield - 1981-82,Yield - 1982-83,Yield - 1983-84,Yield - 1984-85,Yield - 1985-86,Yield - 1986-87,Yield - 1987-88,Yield - 1988-89,Yield - 1989-90,Yield - 1990-91,Yield - 1991-92,Yield - 1992-93,Yield - 1993-94,Yield - 1994-95,Yield - 1995-96,Yield - 1996-97,Yield - 1997-98,Yield - 1998-99,Yield - 1999-00,Yield - 2000-01,Yield - 2001-02,Yield - 2002-03,Yield - 2003-04,Yield - 2004-05,Yield - 2005-06,Yield - 2006-07,Yield - 2007-08,Yield - 2008-09,Yield - 2009-10,Yield - 2010-11,Yield - 2011-12,Yield - 2012-13,Yield - 2013-14,Yield - 2014-15,Yield - 2015-16,Yield - 2016-17,Yield - 2017-18,Yield - 2018-19,Yield - 2019-20,Yield - 2020-21,Yield - 2021-22,Yield - 2022-23,Yield - 2023-24,Yield - 2024-25
Jowar,All India,Total,180.54,184.23,187.31,186.05,173.74,167.77,155.13,167.16,161.89,160.92,157.72,163.18,161.46,166.74,158.09,165.99,163.76,164.32,159.39,160.97,159.48,159.99,145.99,148.38,143.57,123.6,130.41,127.11,115.14,113.26,114.31,108.01,97.94,102.51,98.56,97.95,93.0,93.31,90.92,86.67,84.73,77.64,75.31,77.87,73.82,62.45,62.14,57.93,61.62,60.77,56.24,50.24,40.93,48.24,43.78,38.01,35.35,40.76,39.84,92.24,100.48,98.04,97.21,81.04,77.22,69.68,90.97,104.14,95.04,105.24,120.64,114.31,116.48,104.31,120.62,107.53,119.19,114.02,101.97,91.85,121.96,101.7,128.98,116.81,80.99,128.06,114.15,89.65,93.27,109.39,75.28,84.15,86.85,75.29,75.57,70.12,66.81,72.44,76.3,71.51,79.26,72.46,66.98,70.03,59.79,52.81,55.42,54.45,42.38,45.68,48.03,34.75,47.72,48.12,41.51,38.14,47.37,48.8,511.0,545.0,523.0,522.0,466.0,460.0,449.0,544.0,643.0,591.0,667.0,739.0,708.0,699.0,660.0,727.0,657.0,725.0,715.0,633.0,576.0,762.0,697.0,869.0,814.0,655.0,982.0,898.0,779.0,823.0,957.0,697.0,859.0,847.0,764.0,771.0,754.0,716.0,797.0,880.0,844.0,1021.0,962.0,860.0,949.0,957.0,850.0,957.0,884.0,697.0,812.0,956.0,849.0,989.0,1099.0,1092.0,1079.0,1162.0,1225.0
Jowar,Andaman And Nicobar Islands,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Jowar,Andhra Pradesh,Total,25.36,24.85,26.81,27.24,25.67,25.32,28.48,27.43,25.38,23.95,20.43,23.09,23.45,24.0,20.54,22.14,21.17,19.76,18.62,17.88,16.56,17.3,13.14,13.11,11.9,10.67,10.52,10.53,9.44,8.88,8.53,7.89,7.52,7.36,6.77,6.39,6.24,6.48,5.0,4.44,4.23,3.31,2.79,3.85,0.88,1.48,1.65,1.18,1.42,1.74,0.97,1.4,1.56,1.55,1.2,0.77,0.7,1.03,0.81,15.54,11.97,13.2,13.51,9.67,11.4,12.3,12.91,15.71,10.2,10.65,14.33,14.18,16.56,10.82,13.34,15.2,11.25,12.16,11.62,9.94,11.46,6.13,9.02,8.51,6.66,9.09,8.73,6.42,6.49,6.27,5.15,5.23,5.35,6.19,6.34,6.07,7.42,5.16,5.88,4.11,4.7,4.36,4.37,1.57,3.07,3.46,2.66,2.86,3.57,1.98,3.0,2.3,3.89,4.11,2.6,2.84,3.29,2.91,613.0,482.0,493.0,496.0,377.0,450.0,432.0,471.0,619.0,426.0,521.0,621.0,605.0,690.0,527.0,602.0,718.0,569.0,653.0,650.0,600.0,662.0,467.0,688.0,715.0,624.0,864.0,829.0,680.0,731.0,735.0,653.0,695.0,727.0,914.0,992.0,973.0,1145.0,1032.0,1324.0,972.0,1420.0,1563.0,1135.0,1784.0,2071.0,2098.0,2255.0,2015.0,2052.0,2041.0,2146.0,1475.0,2510.0,3428.0,3372.0,4054.0,3191.0,3588.0
Jowar,Arunachal Pradesh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Jowar,Assam,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jowar,Bihar,Total,0.09,0.11,0.12,0.09,0.14,0.05,0.09,0.06,0.1,0.11,0.11,0.12,0.18,0.07,0.1,0.11,0.05,0.06,0.06,0.07,0.06,0.06,0.05,0.06,0.04,0.05,0.04,0.05,0.06,0.05,0.04,0.03,0.03,0.05,0.01,0.04,0.04,0.02,0.04,0.04,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.06,0.03,0.05,0.08,0.02,0.03,0.02,0.04,0.05,0.06,0.05,0.07,0.04,0.06,0.07,0.04,0.05,0.05,0.06,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.04,0.03,0.02,0.03,0.03,0.03,0.01,0.04,0.04,0.02,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,489.0,579.0,248.0,543.0,570.0,365.0,366.0,349.0,424.0,448.0,509.0,432.0,376.0,542.0,574.0,636.0,714.0,867.0,857.0,853.0,885.0,475.0,553.0,456.0,512.0,451.0,590.0,596.0,583.0,600.0,611.0,871.0,962.0,647.0,909.0,841.0,1000.0,1000.0,1000.0,1024.0,1029.0,1059.0,1042.0,1040.0,1065.0,1064.0,1072.0,1065.0,1069.0,1063.0,1065.0,1066.0,1066.0,1067.0,1067.0,1067.0,1068.0,1075.0,1070.0
Jowar,Chandigarh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Jowar,Chhattisgarh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.02,0.01,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.09,0.07,0.08,0.04,0.06,0.05,0.05,0.07,0.06,0.09,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.03,0.04,0.03,0.01,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.0,979.0,742.0,1000.0,667.0,797.0,873.0,1019.0,1429.0,1255.0,1441.0,759.0,700.0,632.0,863.0,824.0,1200.0,1483.0,986.0,1403.0,1326.0,834.0,1471.0,962.0,1285.0
Jowar,Dadra And Nagar Haveli,Total,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,600.0,400.0,400.0,667.0,571.0,571.0,714.0,857.0,714.0,750.0,714.0,833.0,714.0,857.0,750.0,857.0,833.0,833.0,800.0,800.0,1200.0,1200.0,1000.0,600.0,1000.0,1000.0,800.0,500.0,800.0,600.0,1200.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1101.0,795.0,800.0,800.0,787.0,0.0,2200.0,2200.0,809.0,2200.0,0.0,0.0,,,
Jowar,Daman And Diu,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
