Crop,State,Season,Area - 1966-67,Area - 1967-68,Area - 1968-69,Area - 1969-70,Area - 1970-71,Area - 1971-72,Area - 1972-73,Area - 1973-74,Area - 1974-75,Area - 1975-76,Area - 1976-77,Area - 1977-78,Area - 1978-79,Area - 1979-80,Area - 1980-81,Area - 1981-82,Area - 1982-83,Area - 1983-84,Area - 1984-85,Area - 1985-86,Area - 1986-87,Area - 1987-88,Area - 1988-89,Area - 1989-90,Area - 1990-91,Area - 1991-92,Area - 1992-93,Area - 1993-94,Area - 1994-95,Area - 1995-96,Area - 1996-97,Area - 1997-98,Area - 1998-99,Area - 1999-00,Area - 2000-01,Area - 2001-02,Area - 2002-03,Area - 2003-04,Area - 2004-05,Area - 2005-06,Area - 2006-07,Area - 2007-08,Area - 2008-09,Area - 2009-10,Area - 2010-11,Area - 2011-12,Area - 2012-13,Area - 2013-14,Area - 2014-15,Area - 2015-16,Area - 2016-17,Area - 2017-18,Area - 2018-19,Area - 2019-20,Area - 2020-21,Area - 2021-22,Area - 2022-23,Area - 2023-24,Area - 2024-25,Production - 1966-67,Production - 1967-68,Production - 1968-69,Production - 1969-70,Production - 1970-71,Production - 1971-72,Production - 1972-73,Production - 1973-74,Production - 1974-75,Production - 1975-76,Production - 1976-77,Production - 1977-78,Production - 1978-79,Production - 1979-80,Production - 1980-81,Production - 1981-82,Production - 1982-83,Production - 1983-84,Production - 1984-85,Production - 1985-86,Production - 1986-87,Production - 1987-88,Production - 1988-89,Production - 1989-90,Production - 1990-91,Production - 1991-92,Production - 1992-93,Production - 1993-94,Production - 1994-95,Production - 1995-96,Production - 1996-97,Production - 1997-98,Production - 1998-99,Production - 1999-00,Production - 2000-01,Production - 2001-02,Production - 2002-03,Production - 2003-04,Production - 2004-05,Production - 2005-06,Production - 2006-07,Production - 2007-08,Production - 2008-09,Production - 2009-10,Production - 2010-11,Production - 2011-12,Production - 2012-13,Production - 2013-14,Production - 2014-15,Production - 2015-16,Production - 2016-17,Production - 2017-18,Production - 2018-19,Production - 2019-20,Production - 2020-21,Production - 2021-22,Production - 2022-23,Production - 2023-24,Production - 2024-25,Yield - 1966-67,Yield - 1967-68,Yield - 1968-69,Yield - 1969-70,Yield - 1970-71,Yield - 1971-72,Yield - 1972-73,Yield - 1973-74,Yield - 1974-75,Yield - 1975-76,Yield - 1976-77,Yield - 1977-78,Yield - 1978-79,Yield - 1979-80,Yield - 1980-81,Yield - 1981-82,Yield - 1982-83,Yield - 1983-84,Yield - 1984-85,Yield - 1985-86,Yield - 1986-87,Yield - 1987-88,Yield - 1988-89,Yield - 1989-90,Yield - 1990-91,Yield - 1991-92,Yield - 1992-93,Yield - 1993-94,Yield - 1994-95,Yield - 1995-96,Yield - 1996-97,Yield - 1997-98,Yield - 1998-99,Yield - 1999-00,Yield - 2000-01,Yield - 2001-02,Yield - 2002-03,Yield - 2003-04,Yield - 2004-05,Yield - 2005-06,Yield - 2006-07,Yield - 2007-08,Yield - 2008-09,Yield - 2009-10,Yield - 2010-11,Yield - 2011-12,Yield - 2012-13,Yield - 2013-14,Yield - 2014-15,Yield - 2015-16,Yield - 2016-17,Yield - 2017-18,Yield - 2018-19,Yield - 2019-20,Yield - 2020-21,Yield - 2021-22,Yield - 2022-23,Yield - 2023-24,Yield - 2024-25
Ragi,All India,Total,19.84,22.91,22.38,27.83,24.72,24.25,23.29,23.6,24.64,26.3,24.96,26.0,27.05,26.15,25.25,26.1,24.12,25.58,23.87,24.01,24.05,22.62,23.17,23.43,21.71,21.3,19.05,18.84,17.64,17.74,17.84,16.57,17.58,16.34,17.59,16.47,14.15,16.66,15.53,15.34,11.77,13.87,13.81,12.68,12.86,11.76,11.31,11.94,12.08,11.38,10.16,11.94,8.91,10.04,11.59,12.18,11.63,12.15,12.29,16.31,18.84,16.48,21.17,21.55,22.09,19.23,20.72,21.36,27.97,20.45,28.66,32.0,27.22,24.2,29.61,22.23,28.31,25.3,25.18,27.08,23.19,24.1,27.67,23.4,25.82,25.31,25.97,23.42,25.01,23.4,20.87,26.08,22.9,27.32,23.75,13.16,19.66,24.32,23.54,14.44,21.52,20.4,18.88,21.93,19.29,15.74,19.83,20.61,18.22,13.85,19.85,12.39,17.55,19.98,17.01,16.91,16.7,18.34,822.0,822.0,736.0,761.0,872.0,911.0,826.0,878.0,867.0,1064.0,819.0,1102.0,1183.0,1041.0,958.0,1134.0,922.0,1107.0,1060.0,1049.0,1126.0,1025.0,1040.0,1181.0,1078.0,1212.0,1328.0,1378.0,1328.0,1410.0,1312.0,1260.0,1483.0,1401.0,1553.0,1442.0,930.0,1180.0,1567.0,1534.0,1226.0,1552.0,1477.0,1489.0,1705.0,1641.0,1392.0,1661.0,1706.0,1601.0,1363.0,1662.0,1390.0,1747.0,1724.0,1396.0,1454.0,1375.0,1492.0
Ragi,Andaman And Nicobar Islands,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Ragi,Andhra Pradesh,Total,3.4,3.12,3.14,3.39,2.9,2.73,2.39,2.55,2.89,3.24,3.25,3.28,3.12,2.51,2.54,2.59,2.42,2.55,2.26,2.13,1.83,1.73,1.68,1.71,1.64,1.46,1.45,1.4,1.3,1.27,1.2,0.98,1.03,0.97,0.99,0.82,0.71,0.78,0.69,0.66,0.59,0.55,0.5,0.45,0.39,0.4,0.39,0.42,0.33,0.32,0.32,0.35,0.32,0.34,0.33,0.3,0.27,0.27,0.23,2.63,2.76,2.56,2.67,2.31,2.65,2.21,2.74,3.18,3.7,3.08,3.53,3.43,2.65,2.45,2.87,2.33,2.63,2.16,2.06,1.82,1.69,1.71,2.08,1.91,1.52,1.59,1.63,1.71,1.48,1.48,0.9,1.22,1.11,1.2,1.03,0.78,1.01,0.87,0.79,0.64,0.69,0.52,0.53,0.47,0.37,0.42,0.43,0.34,0.34,0.35,0.45,0.43,0.45,0.4,0.31,0.32,0.34,0.31,772.0,885.0,813.0,788.0,795.0,972.0,924.0,1077.0,1100.0,1143.0,946.0,1077.0,1102.0,1058.0,965.0,1108.0,964.0,1029.0,956.0,968.0,998.0,976.0,1017.0,1215.0,1166.0,1044.0,1101.0,1164.0,1319.0,1167.0,1233.0,920.0,1184.0,1144.0,1212.0,1258.0,1099.0,1295.0,1261.0,1197.0,1085.0,1255.0,1040.0,1178.0,1203.0,927.0,1077.0,1027.0,1030.0,1063.0,1094.0,1277.0,1348.0,1320.0,1197.0,1038.0,1185.0,1261.0,1348.0
Ragi,Arunachal Pradesh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.27,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.28,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1036.0,1037.0,
Ragi,Assam,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029.0,
Ragi,Bihar,Total,1.65,2.06,1.8,1.76,1.77,1.36,1.45,1.67,1.61,1.81,1.89,1.82,1.8,1.63,1.77,1.69,1.38,1.51,1.31,1.26,1.18,1.03,1.07,1.04,0.98,0.91,0.87,0.94,0.91,0.83,0.8,0.74,0.72,0.66,0.23,0.2,0.21,0.15,0.16,0.15,0.14,0.15,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.82,1.76,0.99,0.81,0.91,0.53,0.63,0.93,0.72,0.77,0.96,1.19,1.24,0.79,1.14,0.94,0.75,1.04,1.07,0.95,0.76,0.52,0.67,0.8,0.88,0.72,0.64,0.66,0.7,0.75,0.76,0.65,0.61,0.65,0.25,0.17,0.14,0.1,0.11,0.11,0.13,0.09,0.09,0.08,0.07,0.09,0.09,0.07,0.1,0.1,0.03,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.02,496.0,853.0,549.0,459.0,515.0,391.0,434.0,555.0,451.0,425.0,508.0,653.0,689.0,486.0,644.0,555.0,542.0,692.0,817.0,756.0,642.0,505.0,629.0,769.0,904.0,787.0,730.0,696.0,765.0,905.0,945.0,879.0,851.0,985.0,1098.0,852.0,686.0,684.0,673.0,779.0,874.0,600.0,816.0,808.0,800.0,1213.0,1180.0,1016.0,1473.0,1429.0,723.0,994.0,1071.0,796.0,934.0,978.0,1003.0,871.0,895.0
Ragi,Chandigarh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Ragi,Chhattisgarh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.09,0.08,0.08,0.09,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.08,0.06,0.05,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,294.0,210.0,292.0,262.0,257.0,278.0,280.0,274.0,265.0,276.0,247.0,280.0,267.0,269.0,188.0,238.0,250.0,214.0,253.0,302.0,300.0,293.0,274.0,284.0
Ragi,Dadra And Nagar Haveli,Total,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,0.03,0.04,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.02,0.04,0.04,0.05,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,950.0,1269.0,1500.0,625.0,920.0,1000.0,630.0,889.0,962.0,857.0,897.0,933.0,1000.0,1030.0,1200.0,1400.0,1154.0,1500.0,1500.0,1480.0,1520.0,1000.0,1393.0,1296.0,2000.0,1400.0,2000.0,2050.0,1444.0,1222.0,1222.0,1615.0,1429.0,1643.0,1600.0,1071.0,1438.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1055.0,1645.0,992.0,1029.0,1030.0,1029.0,1900.0,1700.0,1700.0,1440.0,1650.0,1652.0,1667.0,1656.0,1675.0,
Ragi,Daman And Diu,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
