Crop,State,Season,Area - 1966-67,Area - 1967-68,Area - 1968-69,Area - 1969-70,Area - 1970-71,Area - 1971-72,Area - 1972-73,Area - 1973-74,Area - 1974-75,Area - 1975-76,Area - 1976-77,Area - 1977-78,Area - 1978-79,Area - 1979-80,Area - 1980-81,Area - 1981-82,Area - 1982-83,Area - 1983-84,Area - 1984-85,Area - 1985-86,Area - 1986-87,Area - 1987-88,Area - 1988-89,Area - 1989-90,Area - 1990-91,Area - 1991-92,Area - 1992-93,Area - 1993-94,Area - 1994-95,Area - 1995-96,Area - 1996-97,Area - 1997-98,Area - 1998-99,Area - 1999-00,Area - 2000-01,Area - 2001-02,Area - 2002-03,Area - 2003-04,Area - 2004-05,Area - 2005-06,Area - 2006-07,Area - 2007-08,Area - 2008-09,Area - 2009-10,Area - 2010-11,Area - 2011-12,Area - 2012-13,Area - 2013-14,Area - 2014-15,Area - 2015-16,Area - 2016-17,Area - 2017-18,Area - 2018-19,Area - 2019-20,Area - 2020-21,Area - 2021-22,Area - 2022-23,Area - 2023-24,Area - 2024-25,Production - 1966-67,Production - 1967-68,Production - 1968-69,Production - 1969-70,Production - 1970-71,Production - 1971-72,Production - 1972-73,Production - 1973-74,Production - 1974-75,Production - 1975-76,Production - 1976-77,Production - 1977-78,Production - 1978-79,Production - 1979-80,Production - 1980-81,Production - 1981-82,Production - 1982-83,Production - 1983-84,Production - 1984-85,Production - 1985-86,Production - 1986-87,Production - 1987-88,Production - 1988-89,Production - 1989-90,Production - 1990-91,Production - 1991-92,Production - 1992-93,Production - 1993-94,Production - 1994-95,Production - 1995-96,Production - 1996-97,Production - 1997-98,Production - 1998-99,Production - 1999-00,Production - 2000-01,Production - 2001-02,Production - 2002-03,Production - 2003-04,Production - 2004-05,Production - 2005-06,Production - 2006-07,Production - 2007-08,Production - 2008-09,Production - 2009-10,Production - 2010-11,Production - 2011-12,Production - 2012-13,Production - 2013-14,Production - 2014-15,Production - 2015-16,Production - 2016-17,Production - 2017-18,Production - 2018-19,Production - 2019-20,Production - 2020-21,Production - 2021-22,Production - 2022-23,Production - 2023-24,Production - 2024-25,Yield - 1966-67,Yield - 1967-68,Yield - 1968-69,Yield - 1969-70,Yield - 1970-71,Yield - 1971-72,Yield - 1972-73,Yield - 1973-74,Yield - 1974-75,Yield - 1975-76,Yield - 1976-77,Yield - 1977-78,Yield - 1978-79,Yield - 1979-80,Yield - 1980-81,Yield - 1981-82,Yield - 1982-83,Yield - 1983-84,Yield - 1984-85,Yield - 1985-86,Yield - 1986-87,Yield - 1987-88,Yield - 1988-89,Yield - 1989-90,Yield - 1990-91,Yield - 1991-92,Yield - 1992-93,Yield - 1993-94,Yield - 1994-95,Yield - 1995-96,Yield - 1996-97,Yield - 1997-98,Yield - 1998-99,Yield - 1999-00,Yield - 2000-01,Yield - 2001-02,Yield - 2002-03,Yield - 2003-04,Yield - 2004-05,Yield - 2005-06,Yield - 2006-07,Yield - 2007-08,Yield - 2008-09,Yield - 2009-10,Yield - 2010-11,Yield - 2011-12,Yield - 2012-13,Yield - 2013-14,Yield - 2014-15,Yield - 2015-16,Yield - 2016-17,Yield - 2017-18,Yield - 2018-19,Yield - 2019-20,Yield - 2020-21,Yield - 2021-22,Yield - 2022-23,Yield - 2023-24,Yield - 2024-25
Rice,All India,Total,352.51,364.37,369.66,376.7,375.87,377.58,366.88,382.85,378.88,394.75,385.11,402.83,404.82,394.14,401.52,407.08,382.62,412.44,411.59,411.9,411.67,388.06,417.36,421.67,426.87,426.49,417.75,425.41,428.14,428.37,434.33,434.47,448.02,451.62,447.12,449.04,411.76,425.93,419.07,436.6,438.14,439.14,455.37,419.18,428.62,440.06,427.54,441.36,441.11,434.99,439.93,437.74,441.56,436.62,457.69,462.79,478.32,478.28,514.23,304.38,376.12,397.61,404.3,422.25,430.69,392.45,440.51,395.79,487.4,419.17,526.7,537.73,423.3,536.31,532.48,471.16,600.97,583.37,639.49,605.57,568.63,704.89,735.73,742.91,746.78,728.68,802.98,818.14,769.75,729.73,825.45,860.77,896.83,849.77,933.4,718.2,885.26,831.32,917.93,933.55,966.93,991.83,890.83,959.7,1053.01,1052.32,1066.46,1054.82,1044.08,1096.98,1127.58,1164.78,1188.7,1243.68,1294.71,1357.55,1378.25,1490.74,863.0,1032.0,1076.0,1073.0,1123.0,1141.0,1070.0,1151.0,1045.0,1235.0,1088.0,1308.0,1328.0,1074.0,1336.0,1308.0,1231.0,1457.0,1417.0,1553.0,1471.0,1465.0,1689.0,1745.0,1740.0,1751.0,1744.0,1888.0,1911.0,1797.0,1680.0,1900.0,1921.0,1986.0,1901.0,2079.0,1744.0,2078.0,1984.0,2102.0,2131.0,2202.0,2178.0,2125.0,2239.0,2393.0,2461.0,2416.0,2391.0,2400.0,2494.0,2576.0,2638.0,2722.0,2717.0,2798.0,2838.0,2882.0,2899.0
Rice,Andaman And Nicobar Islands,Total,0.07,0.07,0.08,0.08,0.08,0.09,0.11,0.09,0.12,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.05,,0.09,0.09,0.11,0.1,0.1,0.1,0.17,0.12,0.18,0.15,0.11,0.12,0.16,0.1,0.19,0.22,0.21,0.22,0.28,0.26,0.28,0.2,0.24,0.31,0.31,0.31,0.32,0.32,0.31,0.33,0.33,0.3,0.26,0.28,0.32,0.27,0.32,0.31,0.29,0.31,0.31,0.22,0.22,0.25,0.24,0.24,0.22,0.16,0.13,0.13,0.13,0.17,0.11,0.18,0.13,0.13,0.11,0.1,,1236.0,1149.0,1354.0,1200.0,1220.0,1209.0,1571.0,1300.0,1487.0,1495.0,1143.0,1073.0,1459.0,873.0,1555.0,1800.0,1842.0,1880.0,2220.0,2016.0,2331.0,1584.0,1844.0,2437.0,2508.0,2583.0,2633.0,2631.0,2529.0,2619.0,2656.0,2459.0,2148.0,2679.0,2954.0,2786.0,2945.0,2915.0,2729.0,2896.0,2896.0,3000.0,2797.0,3059.0,2851.0,2960.0,2739.0,2029.0,2040.0,2203.0,2583.0,3154.0,2122.0,3154.0,2133.0,2133.0,2107.0,2100.0,
Rice,Andhra Pradesh,Total,33.23,33.99,30.53,33.0,35.21,30.41,29.28,33.78,35.54,38.95,35.65,36.62,39.79,34.69,36.0,38.24,36.38,41.64,34.98,34.52,34.59,32.07,42.18,42.07,40.36,39.36,36.04,35.47,36.38,36.92,41.09,35.0,43.16,40.14,42.43,38.25,28.22,29.75,30.86,39.82,39.78,39.84,43.87,34.41,27.72,23.46,22.1,24.44,23.94,21.61,21.05,21.56,22.08,23.0,23.24,22.89,21.29,19.21,20.75,48.53,46.74,43.41,47.0,47.86,47.17,42.57,55.83,57.0,64.51,49.3,56.05,74.32,63.07,70.11,78.68,76.71,87.91,69.09,76.14,65.92,70.87,106.21,99.59,96.54,92.49,87.92,95.62,92.77,90.14,106.86,85.1,118.78,106.38,124.58,113.9,73.27,89.53,96.01,117.04,118.72,133.24,142.41,105.38,78.82,77.46,68.62,69.7,72.34,74.89,74.52,81.66,82.35,86.59,78.83,77.64,79.42,73.42,80.16,1460.0,1375.0,1422.0,1424.0,1359.0,1551.0,1454.0,1653.0,1604.0,1657.0,1383.0,1530.0,1868.0,1818.0,1947.0,2058.0,2109.0,2111.0,1975.0,2205.0,1905.0,2210.0,2518.0,2367.0,2392.0,2350.0,2439.0,2696.0,2550.0,2441.0,2601.0,2431.0,2752.0,2650.0,2936.0,2978.0,2596.0,3009.0,3111.0,2939.0,2984.0,3344.0,3246.0,3062.0,2843.0,3302.0,3106.0,2852.0,3022.0,3465.0,3540.0,3788.0,3729.0,3765.0,3393.0,3392.0,3730.0,3822.0,3863.0
Rice,Arunachal Pradesh,Total,0.52,0.53,0.7,0.55,0.56,0.57,0.59,0.62,0.66,0.68,0.71,0.78,0.8,0.57,0.83,0.9,0.94,1.04,1.08,0.75,1.16,1.17,1.21,1.21,1.22,1.22,1.15,1.22,1.09,1.19,1.16,1.2,1.16,1.23,1.19,1.2,1.25,1.19,1.22,1.22,1.22,1.24,1.27,1.21,1.22,1.24,1.26,1.32,1.27,1.29,1.31,1.32,1.33,1.34,1.34,1.36,1.37,1.37,,0.43,0.42,1.0,0.45,0.47,0.49,0.52,0.55,0.57,0.6,0.63,0.81,0.84,0.78,0.88,0.94,0.97,1.11,1.18,1.3,1.25,1.34,1.36,1.39,1.43,1.43,1.17,1.44,1.06,1.25,1.29,1.3,1.14,1.35,1.33,1.35,1.53,1.55,1.35,1.46,1.46,1.58,1.64,2.16,2.34,2.55,2.63,2.76,2.85,2.04,2.2,2.33,2.4,2.45,2.47,2.52,2.54,2.55,,822.0,794.0,1429.0,828.0,847.0,864.0,877.0,883.0,864.0,886.0,886.0,1031.0,1041.0,1376.0,1058.0,1046.0,1042.0,1062.0,1089.0,1743.0,1078.0,1150.0,1126.0,1144.0,1170.0,1173.0,1014.0,1180.0,967.0,1049.0,1120.0,1079.0,988.0,1099.0,1119.0,1126.0,1224.0,1297.0,1110.0,1195.0,1195.0,1275.0,1293.0,1777.0,1925.0,2065.0,2086.0,2092.0,2241.0,1584.0,1679.0,1768.0,1802.0,1833.0,1847.0,1849.0,1854.0,1856.0,
Rice,Assam,Total,19.73,20.83,21.99,22.43,19.63,19.68,20.69,20.78,20.58,22.41,22.86,22.51,22.41,21.31,22.75,22.59,23.02,23.12,23.25,24.64,22.87,23.36,23.01,24.35,24.9,25.28,25.23,25.26,24.51,25.04,24.92,24.9,24.2,26.46,26.46,25.37,25.41,25.29,23.77,24.2,21.89,23.24,24.84,24.96,25.7,25.37,24.88,24.49,24.95,24.85,24.67,24.34,24.25,22.91,23.6,23.53,23.18,22.96,22.01,17.56,19.8,22.51,20.58,19.81,19.08,21.77,20.66,19.84,22.9,21.33,23.11,21.72,18.81,25.23,22.36,25.83,25.15,24.38,28.47,23.85,27.16,24.39,27.95,32.7,31.97,33.0,33.61,33.09,33.9,33.28,33.83,32.55,38.61,39.99,38.54,37.38,38.8,34.71,35.53,29.16,33.19,40.09,43.36,47.37,45.16,51.29,49.27,52.23,51.25,47.27,52.84,52.21,49.85,52.15,43.82,56.24,55.39,49.18,890.0,951.0,1023.0,917.0,1009.0,970.0,1052.0,994.0,964.0,1022.0,933.0,1027.0,969.0,883.0,1109.0,990.0,1122.0,1087.0,1049.0,1155.0,1043.0,1163.0,1060.0,1148.0,1313.0,1265.0,1308.0,1331.0,1350.0,1354.0,1336.0,1359.0,1345.0,1459.0,1511.0,1519.0,1471.0,1534.0,1460.0,1468.0,1332.0,1428.0,1614.0,1737.0,1843.0,1780.0,2061.0,2012.0,2093.0,2062.0,1916.0,2171.0,2153.0,2176.0,2209.0,1862.0,2426.0,2413.0,2235.0
Rice,Bihar,Total,44.96,52.55,54.28,54.93,52.75,54.11,47.16,51.81,52.28,52.57,53.1,55.89,55.79,50.99,55.51,53.68,44.98,49.01,51.73,53.35,53.68,51.01,53.09,52.86,53.9,51.0,45.17,47.18,48.55,50.37,50.68,51.12,50.87,50.02,36.56,35.52,35.85,35.78,31.23,32.52,33.57,35.73,34.96,32.14,28.32,33.24,32.99,31.31,32.63,32.32,33.4,33.07,31.6,28.86,30.21,30.91,28.63,31.1,32.15,16.45,47.32,51.97,40.09,41.54,52.74,44.65,41.58,45.4,48.55,47.52,54.95,54.9,35.95,56.35,42.57,30.65,49.67,53.77,60.16,60.45,46.75,63.51,63.49,65.64,47.53,36.41,61.09,62.98,66.4,33.24,71.33,67.69,72.52,54.43,52.03,50.86,54.48,24.72,34.96,49.89,44.18,55.9,35.99,31.02,71.63,75.29,55.06,63.57,68.02,82.39,80.93,61.56,62.98,67.47,77.17,70.23,79.02,84.41,366.0,900.0,958.0,730.0,788.0,975.0,947.0,802.0,868.0,923.0,895.0,983.0,984.0,705.0,1015.0,793.0,681.0,1013.0,1039.0,1128.0,1126.0,916.0,1196.0,1201.0,1218.0,932.0,806.0,1295.0,1297.0,1318.0,656.0,1395.0,1331.0,1450.0,1489.0,1465.0,1419.0,1523.0,792.0,1075.0,1486.0,1237.0,1599.0,1120.0,1095.0,2155.0,2282.0,1759.0,1948.0,2104.0,2467.0,2447.0,1948.0,2182.0,2233.0,2496.0,2453.0,2541.0,2625.0
Rice,Chandigarh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3500.0,733.0,3533.0,5500.0,5500.0,5500.0,3950.0,4979.0,
Rice,Chhattisgarh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,38.1,37.78,38.29,37.47,37.47,37.24,37.52,37.34,36.71,37.03,37.74,37.85,38.02,38.09,38.16,38.3,37.61,36.06,36.66,37.91,37.59,37.71,38.22,39.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.69,50.74,26.35,55.68,43.83,50.12,50.41,54.27,43.92,41.1,61.59,60.28,66.09,67.16,63.22,57.89,80.48,49.31,65.27,67.75,71.61,80.22,98.12,97.03,85.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.0,1332.0,697.0,1454.0,1170.0,1337.0,1354.0,1446.0,1176.0,1120.0,1663.0,1597.0,1746.0,1766.0,1660.0,1517.0,2101.0,1311.0,1810.0,1848.0,1889.0,2134.0,2602.0,2539.0,2187.0
Rice,Dadra And Nagar Haveli,Total,0.07,0.07,0.07,0.09,0.09,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.14,0.13,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.11,0.11,0.14,0.14,0.14,0.16,0.14,0.14,0.14,0.17,0.16,0.16,0.17,0.17,,0.02,0.11,0.05,0.11,0.12,0.11,0.06,0.14,0.08,0.12,0.14,0.13,0.13,0.11,0.19,0.18,0.19,0.18,0.18,0.19,0.19,0.17,0.23,0.22,0.18,0.24,0.26,0.22,0.28,0.24,0.2,0.22,0.17,0.22,0.2,0.3,0.23,0.22,0.23,0.24,0.24,0.24,0.23,0.14,0.21,0.19,0.27,0.26,0.26,0.37,0.32,0.32,0.3,0.36,0.33,0.33,0.36,0.36,,333.0,1521.0,750.0,1187.0,1298.0,1165.0,642.0,1423.0,846.0,1301.0,1474.0,1327.0,1354.0,1121.0,1920.0,1676.0,1542.0,1682.0,1673.0,1679.0,1673.0,1504.0,1916.0,1856.0,1472.0,1813.0,1947.0,1888.0,2107.0,1785.0,1500.0,1545.0,1259.0,1674.0,1471.0,2200.0,1672.0,1652.0,1733.0,1743.0,1743.0,1743.0,1721.0,1076.0,1930.0,1739.0,1928.0,1876.0,1867.0,2333.0,2201.0,2201.0,2105.0,2160.0,2078.0,2069.0,2073.0,2068.0,
Rice,Daman And Diu,Total,0.44,0.5,0.5,0.5,0.52,0.52,0.52,0.52,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.54,0.54,0.54,0.53,0.01,0.01,0.04,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,,,,0.53,0.63,0.62,0.66,0.69,0.79,0.78,0.88,0.71,0.86,0.89,0.93,0.93,0.95,1.17,1.2,1.19,1.24,1.29,1.25,0.02,0.02,0.09,0.04,0.03,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.03,0.03,,,,1197.0,1263.0,1225.0,1318.0,1328.0,1523.0,1510.0,1709.0,1323.0,1597.0,1665.0,1727.0,1741.0,1781.0,2193.0,2246.0,2215.0,2311.0,2393.0,2385.0,1231.0,1231.0,2657.0,1630.0,1706.0,1667.0,1444.0,1400.0,1450.0,1450.0,1450.0,1450.0,1650.0,3733.0,1600.0,2222.0,2125.0,2167.0,2353.0,2056.0,2056.0,1750.0,2111.0,1650.0,1650.0,1650.0,1712.0,1805.0,2270.0,1139.0,1139.0,1222.0,1273.0,2133.0,1956.0,1936.0,,,
