Crop,State,Season,Area - 1966-67,Area - 1967-68,Area - 1968-69,Area - 1969-70,Area - 1970-71,Area - 1971-72,Area - 1972-73,Area - 1973-74,Area - 1974-75,Area - 1975-76,Area - 1976-77,Area - 1977-78,Area - 1978-79,Area - 1979-80,Area - 1980-81,Area - 1981-82,Area - 1982-83,Area - 1983-84,Area - 1984-85,Area - 1985-86,Area - 1986-87,Area - 1987-88,Area - 1988-89,Area - 1989-90,Area - 1990-91,Area - 1991-92,Area - 1992-93,Area - 1993-94,Area - 1994-95,Area - 1995-96,Area - 1996-97,Area - 1997-98,Area - 1998-99,Area - 1999-00,Area - 2000-01,Area - 2001-02,Area - 2002-03,Area - 2003-04,Area - 2004-05,Area - 2005-06,Area - 2006-07,Area - 2007-08,Area - 2008-09,Area - 2009-10,Area - 2010-11,Area - 2011-12,Area - 2012-13,Area - 2013-14,Area - 2014-15,Area - 2015-16,Area - 2016-17,Area - 2017-18,Area - 2018-19,Area - 2019-20,Area - 2020-21,Area - 2021-22,Area - 2022-23,Area - 2023-24,Area - 2024-25,Production - 1966-67,Production - 1967-68,Production - 1968-69,Production - 1969-70,Production - 1970-71,Production - 1971-72,Production - 1972-73,Production - 1973-74,Production - 1974-75,Production - 1975-76,Production - 1976-77,Production - 1977-78,Production - 1978-79,Production - 1979-80,Production - 1980-81,Production - 1981-82,Production - 1982-83,Production - 1983-84,Production - 1984-85,Production - 1985-86,Production - 1986-87,Production - 1987-88,Production - 1988-89,Production - 1989-90,Production - 1990-91,Production - 1991-92,Production - 1992-93,Production - 1993-94,Production - 1994-95,Production - 1995-96,Production - 1996-97,Production - 1997-98,Production - 1998-99,Production - 1999-00,Production - 2000-01,Production - 2001-02,Production - 2002-03,Production - 2003-04,Production - 2004-05,Production - 2005-06,Production - 2006-07,Production - 2007-08,Production - 2008-09,Production - 2009-10,Production - 2010-11,Production - 2011-12,Production - 2012-13,Production - 2013-14,Production - 2014-15,Production - 2015-16,Production - 2016-17,Production - 2017-18,Production - 2018-19,Production - 2019-20,Production - 2020-21,Production - 2021-22,Production - 2022-23,Production - 2023-24,Production - 2024-25,Yield - 1966-67,Yield - 1967-68,Yield - 1968-69,Yield - 1969-70,Yield - 1970-71,Yield - 1971-72,Yield - 1972-73,Yield - 1973-74,Yield - 1974-75,Yield - 1975-76,Yield - 1976-77,Yield - 1977-78,Yield - 1978-79,Yield - 1979-80,Yield - 1980-81,Yield - 1981-82,Yield - 1982-83,Yield - 1983-84,Yield - 1984-85,Yield - 1985-86,Yield - 1986-87,Yield - 1987-88,Yield - 1988-89,Yield - 1989-90,Yield - 1990-91,Yield - 1991-92,Yield - 1992-93,Yield - 1993-94,Yield - 1994-95,Yield - 1995-96,Yield - 1996-97,Yield - 1997-98,Yield - 1998-99,Yield - 1999-00,Yield - 2000-01,Yield - 2001-02,Yield - 2002-03,Yield - 2003-04,Yield - 2004-05,Yield - 2005-06,Yield - 2006-07,Yield - 2007-08,Yield - 2008-09,Yield - 2009-10,Yield - 2010-11,Yield - 2011-12,Yield - 2012-13,Yield - 2013-14,Yield - 2014-15,Yield - 2015-16,Yield - 2016-17,Yield - 2017-18,Yield - 2018-19,Yield - 2019-20,Yield - 2020-21,Yield - 2021-22,Yield - 2022-23,Yield - 2023-24,Yield - 2024-25
Small Millets,All India,Total,45.84,48.57,47.46,47.33,47.83,44.77,42.65,45.67,44.66,46.73,46.8,45.74,43.97,40.02,39.76,37.86,34.99,36.37,32.14,31.55,29.75,28.76,27.43,27.03,24.47,20.88,19.83,18.88,17.92,16.62,16.01,15.29,14.95,14.11,14.24,13.11,12.01,11.91,11.01,10.64,10.1,10.39,9.05,8.31,8.0,7.99,7.54,6.82,5.9,6.5,6.19,5.46,4.54,4.58,4.44,4.29,4.28,4.8,4.42,14.9,19.1,18.07,17.32,19.88,16.69,15.52,19.69,16.16,19.27,17.52,20.7,18.94,14.25,15.75,16.38,12.29,16.75,11.94,12.17,11.62,12.49,11.64,13.06,11.9,8.82,8.69,9.17,7.98,7.79,7.28,6.4,6.71,6.18,5.87,5.77,4.59,5.64,4.78,4.72,4.8,5.51,4.45,3.82,4.42,4.52,4.36,4.3,3.86,3.91,4.42,4.39,3.33,3.71,3.47,3.67,3.84,4.49,4.38,325.0,393.0,381.0,366.0,416.0,373.0,364.0,431.0,362.0,412.0,374.0,453.0,431.0,356.0,396.0,433.0,351.0,461.0,372.0,386.0,390.0,434.0,424.0,483.0,486.0,423.0,438.0,486.0,445.0,469.0,455.0,418.0,449.0,438.0,412.0,440.0,383.0,473.0,434.0,443.0,475.0,530.0,491.0,460.0,553.0,565.0,578.0,630.0,654.0,602.0,714.0,804.0,734.0,809.0,781.0,857.0,898.0,935.0,992.0
Small Millets,Andaman And Nicobar Islands,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Small Millets,Andhra Pradesh,Total,9.25,8.6,8.04,8.51,7.99,6.88,6.37,7.37,7.08,8.05,7.62,7.59,6.84,5.76,5.51,6.04,4.74,4.74,4.02,3.65,3.3,3.24,2.46,2.2,1.89,1.2,1.1,1.13,0.97,0.98,0.84,0.66,0.74,0.64,0.67,0.57,0.48,0.5,0.48,0.44,0.34,0.35,0.3,0.25,0.3,0.29,0.37,0.28,0.2,0.51,0.31,0.21,0.13,0.22,0.22,0.14,0.11,0.13,0.31,2.47,2.15,1.8,1.85,3.27,2.57,2.19,3.27,2.69,2.95,2.62,3.97,3.36,2.73,1.71,3.71,1.46,2.4,1.26,1.33,1.19,1.47,1.06,1.61,1.15,0.69,0.66,0.86,0.47,0.73,0.55,0.36,0.47,0.34,0.4,0.34,0.23,0.3,0.23,0.26,0.17,0.22,0.16,0.13,0.29,0.29,0.36,0.22,0.14,0.49,0.24,0.16,0.06,0.22,0.19,0.13,0.09,0.11,0.27,267.0,251.0,224.0,217.0,410.0,373.0,344.0,443.0,379.0,366.0,344.0,524.0,491.0,475.0,310.0,615.0,308.0,506.0,312.0,365.0,360.0,454.0,431.0,730.0,610.0,578.0,604.0,760.0,482.0,741.0,657.0,540.0,635.0,527.0,598.0,596.0,479.0,600.0,479.0,591.0,500.0,629.0,533.0,520.0,967.0,1000.0,972.0,786.0,700.0,961.0,774.0,762.0,462.0,1000.0,864.0,929.0,860.0,902.0,860.0
Small Millets,Arunachal Pradesh,Total,,,,,,,,,,0.15,0.16,0.16,0.17,0.12,0.17,0.18,0.18,0.21,0.22,0.19,0.27,0.26,0.2,0.2,0.2,0.2,0.22,0.22,0.22,0.21,0.19,0.19,0.18,0.2,0.2,0.2,0.21,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.23,0.23,0.26,0.28,0.05,0.27,0.27,0.27,0.27,0.27,,,,,,,,,,,,,0.1,0.11,0.11,0.14,0.1,0.15,0.16,0.17,0.15,0.16,0.18,0.2,0.14,0.17,0.19,0.19,0.2,0.2,0.28,0.28,0.21,0.18,0.18,0.16,0.17,0.17,0.18,0.19,0.21,0.21,0.22,0.21,0.19,0.19,0.18,0.2,0.22,0.23,0.24,0.27,0.28,0.27,0.27,0.27,0.27,0.28,0.28,,,,,,,,,,,,,629.0,669.0,669.0,830.0,866.0,876.0,878.0,961.0,712.0,747.0,941.0,741.0,550.0,833.0,964.0,980.0,980.0,897.0,1228.0,1228.0,990.0,957.0,973.0,867.0,864.0,861.0,909.0,919.0,955.0,955.0,982.0,986.0,870.0,848.0,860.0,925.0,1000.0,1032.0,1050.0,1038.0,1002.0,5118.0,1020.0,1023.0,1025.0,1030.0,1033.0,,,
Small Millets,Assam,Total,0.06,0.07,0.06,0.06,0.06,0.06,0.1,0.09,0.1,0.11,0.07,0.08,0.09,0.09,0.08,0.08,0.08,0.1,0.12,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.09,0.09,0.09,0.12,0.1,0.11,0.11,0.11,0.11,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.05,0.07,0.05,0.06,0.04,0.05,0.05,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.06,0.05,500.0,492.0,500.0,492.0,491.0,492.0,495.0,512.0,510.0,491.0,486.0,488.0,489.0,494.0,488.0,506.0,494.0,515.0,517.0,515.0,510.0,525.0,495.0,525.0,514.0,548.0,538.0,495.0,500.0,522.0,519.0,514.0,524.0,455.0,509.0,500.0,500.0,500.0,513.0,506.0,571.0,571.0,519.0,470.0,511.0,510.0,494.0,614.0,603.0,674.0,616.0,584.0,587.0,619.0,656.0,664.0,799.0,740.0,735.0
Small Millets,Bihar,Total,1.96,2.48,2.39,2.25,2.24,1.85,1.84,1.98,1.92,1.95,1.84,1.8,1.65,1.41,1.49,1.37,1.13,1.19,1.07,1.06,0.92,0.79,0.76,0.7,0.66,0.58,0.53,0.53,0.45,0.44,0.48,0.4,0.32,0.32,0.08,0.07,0.07,0.03,0.03,0.07,0.06,0.05,0.08,0.04,0.05,0.06,0.03,0.03,0.03,0.02,0.03,0.04,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.76,1.1,0.96,1.03,0.97,0.62,0.68,0.75,0.66,0.65,0.69,0.67,0.71,0.48,0.53,0.55,0.37,0.59,0.5,0.67,0.58,0.42,0.48,0.42,0.35,0.41,0.34,0.34,0.25,0.22,0.3,0.2,0.18,0.15,0.04,0.05,0.05,0.02,0.02,0.06,0.05,0.04,0.06,0.03,0.04,0.04,0.02,0.02,0.02,0.01,0.03,0.03,0.07,0.02,0.02,0.01,0.01,0.01,0.02,387.0,445.0,401.0,457.0,432.0,337.0,369.0,376.0,343.0,335.0,375.0,372.0,430.0,337.0,353.0,398.0,326.0,492.0,466.0,628.0,625.0,528.0,628.0,597.0,537.0,701.0,647.0,642.0,546.0,491.0,615.0,514.0,572.0,460.0,551.0,729.0,754.0,767.0,829.0,743.0,742.0,761.0,769.0,750.0,763.0,761.0,765.0,755.0,759.0,756.0,967.0,752.0,751.0,755.0,753.0,755.0,754.0,755.0,755.0
Small Millets,Chandigarh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Small Millets,Chhattisgarh,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,2.75,2.6,2.45,2.37,2.26,2.16,1.99,1.64,1.53,1.6,1.49,1.41,1.13,1.19,0.95,0.89,0.89,0.86,0.63,0.85,0.52,0.44,0.41,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.68,0.41,0.63,0.48,0.41,0.49,0.52,0.32,0.28,0.34,0.3,0.3,0.25,0.28,0.15,0.25,0.21,0.29,0.19,0.22,0.26,0.22,0.25,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,248.0,157.0,257.0,201.0,183.0,225.0,262.0,194.0,183.0,211.0,200.0,216.0,223.0,232.0,158.0,285.0,236.0,332.0,300.0,258.0,501.0,492.0,599.0,482.0
Small Millets,Dadra And Nagar Haveli,Total,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,333.0,375.0,500.0,444.0,444.0,600.0,571.0,714.0,833.0,667.0,714.0,667.0,714.0,714.0,1429.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,750.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,500.0,1000.0,1000.0,948.0,957.0,909.0,,0.0,0.0,933.0,0.0,0.0,0.0,,,
Small Millets,Daman And Diu,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Small Millets,Delhi,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
