ST_NM,year,rain_mean_mm
All-India,1966,989.6355358401639
All-India,1967,1078.9589971109588
All-India,1968,974.5026246103191
All-India,1969,1048.135711719408
All-India,1970,1157.5217491434864
All-India,1971,1156.6607877876468
All-India,1972,898.6745907686104
All-India,1973,1166.3594397117429
All-India,1974,1029.1264730602607
All-India,1975,1257.7683196048683
All-India,1976,1097.5934146239435
All-India,1977,1217.8579270486898
All-India,1978,1192.2884525476584
All-India,1979,992.9243598285688
All-India,1980,1147.5786371354645
All-India,1981,1105.9765142051042
All-India,1982,1060.807715071339
All-India,1983,1266.5048730092562
All-India,1984,1112.5607790309532
All-India,1985,1102.805508597688
All-India,1986,1091.3012860606268
All-India,1987,1052.69437436012
All-India,1988,1261.9567486933333
All-India,1989,1081.094788947733
All-India,1990,1327.8027550155903
All-India,1991,1100.4220580352148
All-India,1992,1060.138417851793
All-India,1993,1155.2305889815086
All-India,1994,1227.4090706772938
All-India,1995,1182.5719897932158
All-India,1996,1152.8781328401162
All-India,1997,1139.0717293724774
All-India,1998,1168.966548463634
All-India,1999,1064.64951722228
All-India,2000,974.7547643610598
All-India,2001,1040.1940406161914
All-India,2002,901.643519889205
All-India,2003,1134.9480596958329
All-India,2004,1020.5735693021323
All-India,2005,1186.6987357971193
All-India,2006,1126.2288792690322
All-India,2007,1135.7830166011995
All-India,2008,1127.0670737852993
All-India,2009,969.0656684743128
All-India,2010,1205.8373441490367
All-India,2011,1124.199057728825
All-India,2012,1045.8838064826662
All-India,2013,1211.050285234252
All-India,2014,1006.0004563262085
All-India,2015,1049.0663651527707
All-India,2016,1068.9689601149216
All-India,2017,1092.9032175617594
All-India,2018,981.9372427790976
All-India,2019,1236.7761955016485
All-India,2020,1236.2079885781409
All-India,2021,1197.3230603221673
All-India,2022,1230.1705901074536
All-India,2023,1051.5941417950778
All-India,2024,1188.646484375
Andaman & Nicobar,1966,0.0
Andaman & Nicobar,1967,0.0
Andaman & Nicobar,1968,0.0
Andaman & Nicobar,1969,0.0
Andaman & Nicobar,1970,0.0
Andaman & Nicobar,1971,0.0
Andaman & Nicobar,1972,0.0
Andaman & Nicobar,1973,0.0
Andaman & Nicobar,1974,0.0
Andaman & Nicobar,1975,0.0
Andaman & Nicobar,1976,0.0
Andaman & Nicobar,1977,0.0
Andaman & Nicobar,1978,0.0
Andaman & Nicobar,1979,0.0
Andaman & Nicobar,1980,0.0
Andaman & Nicobar,1981,0.0
Andaman & Nicobar,1982,0.0
Andaman & Nicobar,1983,0.0
Andaman & Nicobar,1984,0.0
Andaman & Nicobar,1985,0.0
Andaman & Nicobar,1986,0.0
Andaman & Nicobar,1987,0.0
Andaman & Nicobar,1988,0.0
Andaman & Nicobar,1989,0.0
Andaman & Nicobar,1990,0.0
Andaman & Nicobar,1991,0.0
Andaman & Nicobar,1992,0.0
Andaman & Nicobar,1993,0.0
Andaman & Nicobar,1994,0.0
Andaman & Nicobar,1995,0.0
Andaman & Nicobar,1996,0.0
Andaman & Nicobar,1997,0.0
Andaman & Nicobar,1998,0.0
Andaman & Nicobar,1999,0.0
Andaman & Nicobar,2000,0.0
Andaman & Nicobar,2001,0.0
Andaman & Nicobar,2002,0.0
Andaman & Nicobar,2003,0.0
Andaman & Nicobar,2004,0.0
Andaman & Nicobar,2005,0.0
Andaman & Nicobar,2006,0.0
Andaman & Nicobar,2007,0.0
Andaman & Nicobar,2008,0.0
Andaman & Nicobar,2009,0.0
Andaman & Nicobar,2010,0.0
Andaman & Nicobar,2011,0.0
Andaman & Nicobar,2012,0.0
Andaman & Nicobar,2013,0.0
Andaman & Nicobar,2014,0.0
Andaman & Nicobar,2015,0.0
Andaman & Nicobar,2016,0.0
Andaman & Nicobar,2017,0.0
Andaman & Nicobar,2018,0.0
Andaman & Nicobar,2019,0.0
Andaman & Nicobar,2020,0.0
Andaman & Nicobar,2021,0.0
Andaman & Nicobar,2022,0.0
Andaman & Nicobar,2023,0.0
Andaman & Nicobar,2024,0.0
Andhra Pradesh,1966,943.8564644679099
Andhra Pradesh,1967,739.1337618903967
Andhra Pradesh,1968,659.9233638950448
Andhra Pradesh,1969,1027.4565027122783
Andhra Pradesh,1970,849.8050657333847
Andhra Pradesh,1971,756.7223322315035
Andhra Pradesh,1972,881.1308791162159
Andhra Pradesh,1973,748.901821975863
