States,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Summer,Monsoon,Post Monsoon,Winter,Annual
Andaman and Nicobar,1901,27.68,28.5,27.03,28.52,28.28,28.11,28.01,27.91,26.46,27.71,28.02,27.5,27.94,27.62,27.74,28.09,27.81
Andaman and Nicobar,1902,26.75,26.67,28.09,29.35,28.25,27.88,28.18,27.57,27.16,28.44,27.92,27.86,28.56,27.7,28.07,26.71,27.84
Andaman and Nicobar,1903,26.7,27.54,27.66,29.53,29.1,27.55,27.56,27.55,27.22,27.61,27.13,26.36,28.76,27.47,27.03,27.12,27.63
Andaman and Nicobar,1904,26.02,26.49,27.55,27.72,28.02,27.3,27.28,27.89,27.09,27.97,27.17,26.97,27.76,27.39,27.37,26.26,27.29
Andaman and Nicobar,1905,26.12,27.29,27.89,28.79,27.8,27.44,28.1,27.93,27.84,27.94,28.39,28.11,28.16,27.83,28.15,26.71,27.8
Andaman and Nicobar,1906,27.62,27.4,26.88,29.62,29.67,27.78,27.86,27.75,27.82,27.56,27.47,27.64,28.72,27.8,27.56,27.51,27.92
Andaman and Nicobar,1907,26.78,26.92,27.04,28.75,27.42,27.67,27.19,27.29,27.56,27.36,27.39,26.33,27.74,27.43,27.03,26.85,27.31
Andaman and Nicobar,1908,26.4,26.29,27.59,29.23,27.7,27.25,27.07,26.95,26.86,27.46,27.03,27.03,28.17,27.03,27.17,26.35,27.24
Andaman and Nicobar,1909,26.6,27.13,27.54,28.41,27.72,27.27,26.99,27.18,27.18,27.45,26.91,26.57,27.89,27.16,26.98,26.87,27.25
Andaman and Nicobar,1910,26.48,26.84,26.42,27.8,28.26,27.47,27.86,27.64,26.58,27.11,27.38,26.49,27.49,27.39,26.99,26.66,27.2
Andaman and Nicobar,1911,26.28,26.52,27.18,27.96,28.0,27.41,27.38,27.73,27.19,27.23,28.62,27.9,27.71,27.43,27.92,26.4,27.45
Andaman and Nicobar,1912,26.01,27.13,27.56,29.25,28.7,27.68,27.21,27.16,27.05,27.35,27.05,27.2,28.5,27.28,27.2,26.57,27.45
Andaman and Nicobar,1913,26.69,27.35,27.53,28.94,28.64,27.41,27.06,27.62,26.96,27.42,27.36,27.13,28.37,27.26,27.3,27.02,27.51
Andaman and Nicobar,1914,25.94,26.58,27.53,28.52,28.44,27.3,27.16,26.91,27.53,28.2,28.49,27.66,28.16,27.23,28.12,26.26,27.52
Andaman and Nicobar,1915,27.02,27.85,28.06,28.89,28.42,27.18,28.05,26.65,27.71,27.38,27.36,25.84,28.46,27.4,26.86,27.44,27.54
Andaman and Nicobar,1916,25.22,26.33,27.69,29.39,28.0,27.25,27.56,27.42,27.11,27.4,26.94,26.14,28.36,27.34,26.83,25.78,27.2
Andaman and Nicobar,1917,25.68,26.75,27.03,28.65,28.03,27.43,27.18,27.16,26.91,27.06,27.13,26.36,27.9,27.17,26.85,26.22,27.11
Andaman and Nicobar,1918,26.32,25.5,27.21,28.17,27.32,27.07,27.76,27.26,27.53,27.46,27.84,27.47,27.57,27.41,27.59,25.91,27.24
Andaman and Nicobar,1919,27.46,27.17,27.56,28.93,28.8,27.3,27.58,27.82,27.77,28.1,27.43,27.35,28.43,27.62,27.63,27.32,27.77
Andaman and Nicobar,1920,26.2,25.97,27.99,28.66,28.16,27.42,27.57,27.41,27.06,27.02,27.49,26.74,28.27,27.37,27.08,26.09,27.31
Andaman and Nicobar,1921,27.0,26.09,27.73,28.84,28.04,27.5,27.08,27.27,26.62,27.22,26.74,26.94,28.2,27.12,26.97,26.55,27.26
Andaman and Nicobar,1922,26.46,26.39,26.88,27.83,28.08,27.51,26.9,27.1,27.14,27.3,26.67,26.04,27.6,27.16,26.67,26.43,27.02
Andaman and Nicobar,1923,26.48,25.43,27.23,27.99,27.74,27.42,26.36,27.25,26.68,27.34,27.42,27.74,27.65,26.93,27.5,25.96,27.09
